datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2009-09-01,"5,003,665,283","7,966,074,287","546,817,497","17,996,980,197","831,426,341","237,718,399","504,472,748","33,087,154,752"
2009-10-01,"4,642,033,506","6,701,720,949","454,010,789","17,077,276,643","707,114,735","259,040,788","791,062,983","30,632,260,393"
2009-11-01,"4,995,138,324","6,856,353,661","537,253,062","17,768,712,933","1,093,023,742","283,054,078","1,540,659,764","33,074,195,564"
2009-12-01,"5,162,969,814","7,991,904,089","719,779,458","18,710,460,723","850,094,923","285,139,279","2,426,417,125","36,146,765,411"
2010-01-01,"5,657,148,077","9,251,301,658","716,252,799","19,064,203,380","998,914,929","294,615,883","3,208,569,597","39,191,006,323"
2010-02-01,"5,565,745,644","8,766,303,827","665,088,613","17,440,234,129","995,878,116","272,881,717","3,035,245,978","36,741,378,024"
2010-03-01,"4,872,638,115","7,435,412,771","644,646,096","18,660,218,545","850,587,157","249,928,519","2,367,511,929","35,080,943,132"
2010-04-01,"5,155,672,556","7,595,401,361","668,842,135","18,765,989,602","828,566,146","248,031,687","2,234,645,538","35,497,149,025"
2010-05-01,"4,849,907,058","6,897,527,986","499,430,902","18,690,095,311","721,843,402","235,507,899","1,469,217,292","33,363,529,850"
2010-06-01,"4,881,625,489","7,289,234,251","523,850,370","18,853,251,486","750,618,354","221,930,241","853,573,004","33,374,083,195"
2010-07-01,"5,045,163,045","8,431,165,887","609,064,069","19,476,470,484","764,218,932","220,757,947","536,222,087","35,083,062,451"
2010-08-01,"5,899,112,393","9,558,435,428","574,022,730","19,148,711,341","891,943,334","229,604,620","480,011,679","36,781,841,525"
2010-09-01,"5,685,132,074","8,942,747,518","650,689,705","18,875,161,743","914,212,119","244,140,707","469,463,570","35,781,547,436"
2010-10-01,"4,855,240,331","6,991,614,336","481,365,767","18,958,831,740","743,158,346","258,769,796","802,412,108","33,091,392,424"
2010-11-01,"5,088,730,488","7,381,266,590","587,637,199","19,641,802,467","1,065,668,059","282,142,578","1,569,279,183","35,616,526,564"
2010-12-01,"5,332,843,157","8,398,590,048","758,006,064","20,701,998,062","952,915,249","296,909,983","2,320,602,549","38,761,865,112"
2011-01-01,"5,866,320,279","10,004,845,097","806,552,869","21,361,019,713","1,115,748,918","312,105,037","3,072,916,805","42,539,508,718"
2011-02-01,"5,795,191,241","9,400,947,622","729,822,632","18,872,489,650","1,123,083,215","285,262,168","3,118,349,879","39,325,146,407"
2011-03-01,"4,969,247,589","7,996,012,112","705,822,793","20,714,512,249","960,878,611","260,432,464","2,313,282,094","37,920,187,912"
2011-04-01,"5,209,565,908","7,723,458,349","652,071,547","20,485,737,525","887,359,679","252,625,881","2,005,165,019","37,215,983,908"
2011-05-01,"4,911,473,433","7,026,095,368","498,615,873","20,279,105,684","726,446,759","231,138,629","1,299,804,744","34,972,680,490"
2011-06-01,"4,921,485,333","7,461,361,248","525,436,203","20,569,071,720","770,540,374","225,891,621","785,074,857","35,258,861,356"
2011-07-01,"5,066,107,728","8,397,296,778","596,567,731","21,154,093,301","767,147,854","216,286,736","572,109,805","36,769,609,933"
2011-08-01,"5,710,365,821","9,440,633,823","567,925,126","20,496,378,824","896,289,451","228,911,466","506,576,588","37,847,081,099"
2011-09-01,"5,366,794,287","8,637,658,245","606,719,172","20,077,209,458","940,691,443","249,855,980","490,883,375","36,369,811,960"
2011-10-01,"4,867,076,303","7,181,005,588","497,563,803","20,694,101,396","793,271,832","268,708,992","808,033,781","35,109,761,695"
2011-11-01,"5,168,316,099","7,309,431,732","558,033,502","20,657,044,274","1,097,941,147","286,577,252","1,283,730,656","36,361,074,662"
2011-12-01,"5,350,588,519","8,369,969,506","747,139,518","21,356,886,724","971,967,614","298,655,240","2,019,569,124","39,114,776,245"
2012-01-01,"5,813,954,325","9,766,570,989","789,243,611","21,220,029,329","1,204,933,647","305,295,110","2,806,036,111","41,906,063,122"
2012-02-01,"5,856,815,200","9,622,023,958","773,038,682","20,692,219,674","1,243,431,118","288,529,098","2,878,738,188","41,354,795,918"
2012-03-01,"5,291,003,273","8,468,873,560","751,699,299","21,528,975,475","1,125,882,174","266,551,882","2,321,938,798","39,754,924,461"
2012-04-01,"5,375,327,162","7,911,790,308","670,374,650","20,810,127,002","1,008,051,722","256,844,473","1,917,578,937","37,950,094,254"
2012-05-01,"4,941,387,145","7,202,187,748","512,548,195","21,107,490,291","814,990,804","236,870,524","1,040,758,246","35,856,232,953"
2012-06-01,"4,998,644,986","7,680,554,270","531,100,699","21,122,396,535","890,082,613","225,286,499","629,252,626","36,077,318,228"
2012-07-01,"5,137,702,735","8,685,774,153","592,027,318","21,611,082,547","855,106,692","219,628,633","484,281,074","37,585,603,152"
2012-08-01,"6,423,601,400","9,587,071,281","613,568,533","20,941,051,540","1,096,326,255","231,325,130","440,064,746","39,333,008,885"
2012-09-01,"5,550,829,183","8,725,632,451","593,494,796","20,768,336,879","1,016,305,005","243,496,427","445,108,885","37,343,203,626"
2012-10-01,"4,929,512,111","6,839,107,468","483,734,021","20,503,951,992","837,383,090","265,816,533","698,446,140","34,557,951,355"
2012-11-01,"5,289,507,933","7,545,858,117","612,470,101","21,134,221,977","1,280,642,618","287,459,209","1,402,883,309","37,553,043,264"
2012-12-01,"5,560,693,926","9,004,959,328","866,075,192","21,967,687,838","1,207,138,282","302,551,899","2,269,692,445","41,178,798,910"
2013-01-01,"6,032,027,312","10,245,115,055","884,050,467","22,317,624,959","1,425,357,259","304,383,869","2,857,253,396","44,065,812,317"
2013-02-01,"5,890,422,067","9,504,197,771","801,339,922","20,024,635,386","1,404,894,228","284,714,572","2,716,398,612","40,626,602,558"
2013-03-01,"5,102,695,182","8,098,823,401","704,224,033","21,693,016,209","1,194,829,120","264,158,696","2,078,250,656","39,135,997,297"
