datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2005-09-01,48846228.29037356,3643062.8565053786,1490754.8429864713,1965219.0582421084,2514598.3597030523,1456545.0521607993,1515093.7098267933,1403582.708647196,10711239.208758663,2692015.6518864757,3164574.3722806685,2603904.28781518,558299.9812931084,1969784.0351592528,1887806.7023655237,10180673.539957562,1089073.9227853178
2005-10-01,48854228.46977108,3643659.528089421,1490999.0032133514,1965540.927618141,2515010.2080421043,1456783.609407197,1515341.8563451,1403812.5915646995,10712993.527121393,2692456.558153138,3165092.6756089125,2604330.762942649,558391.4213113926,1970106.6522006746,1888115.892917494,10182340.960709542,1089252.2945258676
2005-11-01,48862229.9594616,3644256.2973980964,1491243.2034295143,1965862.8497108903,2515422.1238348926,1457022.2057252047,1515590.0435055762,1404042.512133106,10714748.132811561,2692897.53663273,3165611.063826405,2604757.307919473,558482.8763059927,1970429.3220812678,1888425.1341096058,10184008.654556615,1089430.6954806675
2005-12-01,48870232.759659715,3644853.16444741,1491487.4436415092,1966184.8245289898,2515834.1070924657,1457260.8411212214,1515838.2713148778,1404272.4703585817,10716503.02587623,2693338.587337079,3166129.53694705,2605183.922757092,558574.3462793618,1970752.0448096863,1888734.4259501526,10185676.621543506,1089609.1256545025
2006-01-01,48991779.0,3611992.0,1494559.0,1974433.0,2496115.0,1466158.0,1505420.0,1407798.0,10906033.0,2688577.0,3172857.0,2624391.0,558496.0,1942925.0,1868365.0,10181166.0,1092494.0
2006-02-01,48999803.018122226,3612583.582707485,1494803.7832829407,1974756.3784626012,2496523.8210798623,1466398.1316833594,1505666.5621295678,1408028.5733103594,10907819.222264629,2689017.3430741103,3173376.659881451,2624820.8305016397,558587.4721228064,1943243.217989392,1868671.0063325916,10182833.50140854,1092672.9318908877
2006-03-01,49007828.35044181,3613175.262306132,1495048.6066572103,1975079.8098890814,2496932.7091176477,1466638.3026961947,1505913.164641809,1408259.1843846962,10909605.737082012,2689457.758268909,3173896.4048743313,2625250.731402188,558678.9592271869,1943561.4880974656,1868977.0627838033,10184501.275925381,1092851.8930877685
2006-04-01,49015854.997174,3613767.038811808,1495293.4701293737,1975403.2942881144,2497341.6641243217,1466878.5130449466,1506159.8075433369,1408489.8332291949,10911392.54450006,2689898.2455962067,3174416.2349925796,2625680.7027131733,558770.4613155953,1943879.810332756,1869283.1693618435,10186169.323595252,1093030.883595442
2006-05-01,49023882.95853409,3614358.912240388,1495538.373706,1975726.8316683774,2497750.686110854,1467118.7627360588,1506406.4908407673,1408720.5198500422,10913179.644566704,2690338.80506782,3174936.150250139,2626110.7444461295,558861.9783904859,1944198.184703802,1869589.3260749227,10187837.644462895,1093209.9034187093
2006-06-01,49031912.23473737,3614950.882607743,1495783.317393656,1976050.4220385465,2498159.7750882134,1467359.0517759738,1506653.2145407156,1408951.2442534245,10914967.037329864,2690779.436695562,3175456.1506609526,2626540.8566125887,558953.5104543128,1944516.6112191414,1869895.5329312512,10189506.238573048,1093388.952562371
