week_range,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2002-08-25~2002-08-31,48291201.10673839,3734862.341719144,1494608.7787124047,1910147.8531835137,2529010.825991418,1421375.889285552,1540674.2086257383,1399226.7951235147,9940081.111526713,2760245.1261982373,3128386.0803564074,2581263.103372191,551530.56762213,2056812.884771645,1956327.4278793829,10220258.49169079,1066389.6206796104
2002-09-01~2002-09-07,48293178.182731815,3735015.249630012,1494669.9690549148,1910226.055990192,2529114.365486742,1421434.081421675,1540737.284919592,1399284.080460027,9940488.06549116,2760358.132589669,3128514.158699374,2581368.7821127777,551553.1476743941,2056897.0921486465,1956407.521310573,10220676.91631572,1066433.279426346
2002-09-08~2002-09-14,48294760.10257562,3735137.595993674,1494718.9293464709,1910288.628482164,2529197.210649404,1421480.642755277,1540787.7542193322,1399329.9162351263,9940813.681984413,2760448.55250963,3128616.638155387,2581453.3389519476,551571.2146747874,2056964.4690836335,1956471.6065498758,10221011.710840318,1066468.2121441814
2002-09-15~2002-09-21,48296342.02241943,3735259.9423573352,1494767.8896380267,1910351.2009741357,2529280.0558120664,1421527.2040888788,1540838.2235190722,1399375.7520102253,9941139.298477666,2760538.972429591,3128719.1176113994,2581537.895791118,551589.2816751807,2057031.8460186208,1956535.6917891786,10221346.505364917,1066503.1448620164
2002-09-22~2002-09-28,48297923.94226323,3735382.288720997,1494816.8499295828,1910413.7734661072,2529362.9009747286,1421573.7654224809,1540888.6928188123,1399421.5877853245,9941464.91497092,2760629.392349553,3128821.5970674115,2581622.452630288,551607.348675574,2057099.2229536078,1956599.7770284815,10221681.299889518,1066538.0775798517
2002-09-29~2002-10-05,48299505.86210704,3735504.6350846584,1494865.8102211386,1910476.345958079,2529445.746137391,1421620.3267560827,1540939.1621185523,1399467.4235604235,9941790.531464173,2760719.812269514,3128924.076523424,2581707.0094694584,551625.4156759672,2057166.599888595,1956663.8622677843,10222016.094414117,1066573.0102976868
2002-10-06~2002-10-12,48301087.78195085,3735626.98144832,1494914.7705126947,1910538.9184500508,2529528.591300053,1421666.8880896848,1540989.6314182924,1399513.2593355228,9942116.147957426,2760810.232189475,3129026.5559794367,2581791.5663086283,551643.4826763605,2057233.976823582,1956727.9475070871,10222350.888938716,1066607.943015522
2002-10-13~2002-10-19,48303065.50561999,3735779.9394507078,1494975.980900716,1910617.1468753996,2529632.1647141622,1421725.099289128,1541052.7283754812,1399570.563438295,9942523.23523703,2760923.2756009786,3129154.676279937,2581897.279668802,551666.0701256854,2057318.2117863076,1956808.067176303,10222769.45063651,1066651.6160645457
2002-10-20~2002-10-26,48305043.22928912,3735932.897453095,1495037.1912887373,1910695.3753007487,2529735.738128272,1421783.3104885714,1541115.82533267,1399627.8675410668,9942930.322516635,2761036.3190124817,3129282.7965804376,2582002.993028975,551688.6575750103,2057402.4467490334,1956888.1868455184,10223188.012334302,1066695.289113569
2002-10-27~2002-11-02,48307020.952958256,3736085.8554554824,1495098.4016767587,1910773.6037260978,2529839.311542381,1421841.5216880145,1541178.9222898588,1399685.1716438388,9943337.409796242,2761149.3624239853,3129410.9168809378,2582108.7063891487,551711.2450243353,2057486.681711759,1956968.306514734,10223606.574032094,1066738.9621625924
2002-11-03~2002-11-09,48308998.6766274,3736238.81345787,1495159.61206478,1910851.8321514467,2529942.8849564902,1421899.7328874578,1541242.0192470476,1399742.475746611,9943744.497075846,2761262.405835489,3129539.037181438,2582214.4197493223,551733.8324736602,2057570.9166744845,1957048.4261839497,10224025.135729888,1066782.635211616
2002-11-10~2002-11-16,48310976.72421395,3736391.7965121707,1495220.8324780194,1910930.073389278,2530046.475334159,1421957.9536209032,1541305.1265384424,1399799.789234818,9944151.651029408,2761375.4677615757,3129667.178465859,2582320.1504235417,551756.4236224242,2057655.1654334606,1957128.5589754013,10224443.765980951,1066826.3154135405
2002-11-17~2002-11-23,48312954.7718005,3736544.7795664715,1495282.0528912586,1911008.3146271093,2530150.065711828,1422016.1743543483,1541368.233829837,1399857.1027230253,9944558.804982968,2761488.5296876626,3129795.31975028,2582425.8810977614,551779.0147711884,2057739.4141924367,1957208.691766853,10224862.396232015,1066869.9956154649
2002-11-24~2002-11-30,48314932.81938706,3736697.7626207722,1495343.2733044978,1911086.5558649406,2530253.6560894963,1422074.3950877937,1541431.3411212317,1399914.4162112323,9944965.95893653,2761601.5916137495,3129923.4610347017,2582531.611771981,551801.6059199524,2057823.662951413,1957288.8245583044,10225281.026483078,1066913.6758173893
2002-12-01~2002-12-07,48316910.866973616,3736850.745675073,1495404.4937177373,1911164.797102772,2530357.246467165,1422132.615821239,1541494.4484126265,1399971.7296994394,9945373.11289009,2761714.6535398364,3130051.6023191228,2582637.3424462005,551824.1970687164,2057907.9117103892,1957368.957349756,10225699.65673414,1066957.3560193137
2002-12-08~2002-12-14,48330893.29357889,3727769.5965400585,1494250.5949741898,1911492.4376822175,2530194.5971737322,1424165.2926569912,1538602.3587301013,1399129.7837595516,9997668.690312073,2753538.122831869,3131844.681855298,2580148.6739569604,551918.7576549731,2049872.3293683114,1956781.1658798049,10215376.925387312,1068139.284815451
2002-12-15~2002-12-21,48344875.72018417,3718688.447405044,1493096.6962306423,1911820.0782616632,2530031.9478802993,1426197.9694927435,1535710.269047576,1398287.8378196636,10049964.267734054,2745361.592123902,3133637.7613914735,2577660.0054677203,552013.3182412299,2041836.7470262335,1956193.3744098537,10205054.194040485,1069321.213611588
2002-12-22~2002-12-28,48358858.14678945,3709607.298270029,1491942.797487095,1912147.7188411087,2529869.298586866,1428230.6463284956,1532818.1793650505,1397445.8918797758,10102259.845156036,2737185.0614159345,3135430.8409276493,2575171.33697848,552107.8788274865,2033801.1646841557,1955605.5829399023,10194731.462693656,1070503.1424077256
2002-12-29~2003-01-04,48372840.57339472,3700526.1491350145,1490788.8987435475,1912475.3594205545,2529706.649293433,1430263.323164248,1529926.0896825253,1396603.9459398878,10154555.422578018,2729008.5307079675,3137223.9204638246,2572682.66848924,552202.4394137433,2025765.5823420777,1955017.7914699512,10184408.731346829,1071685.0712038628
2003-01-05~2003-01-11,48386823.0,3691445.0,1489635.0,1912803.0,2529544.0,1432296.0,1527034.0,1395762.0,10206851.0,2720832.0,3139017.0,2570194.0,552297.0,2017730.0,1954430.0,10174086.0,1072867.0
2003-01-12~2003-01-18,48388804.234160885,3691596.1489385655,1489695.994203923,1912881.3211298382,2529647.57404503,1432354.646416271,1527096.5255335658,1395819.1505046913,10207268.927043408,2720943.4064732958,3139145.5293666003,2570299.238489266,552319.6142080738,2017812.617443254,1954510.02557806,10174502.585456312,1072910.9293307287
2003-01-19~2003-01-25,48390785.46832177,3691747.2978771315,1489756.988407846,1912959.6422596765,2529751.14809006,1432413.2928325422,1527159.0510671316,1395876.3010093826,10207686.854086814,2721054.8129465915,3139274.0587332007,2570404.476978532,552342.2284161476,2017895.234886508,1954590.05115612,10174919.170912623,1072954.8586614574
2003-01-26~2003-02-01,48392766.70248265,3691898.4468156975,1489817.9826117689,1913037.9633895145,2529854.7221350903,1432471.9392488133,1527221.5766006974,1395933.451514074,10208104.78113022,2721166.2194198878,3139402.588099801,2570509.715467798,552364.8426242215,2017977.8523297617,1954670.0767341796,10175335.756368937,1072998.7879921864
2003-02-02~2003-02-08,48394747.93664353,3692049.595754263,1489878.976815692,1913116.2845193527,2529958.29618012,1432530.5856650844,1527284.1021342631,1395990.6020187654,10208522.708173629,2721277.6258931835,3139531.1174664013,2570614.953957064,552387.4568322953,2018060.4697730157,1954750.1023122396,10175752.341825249,1073042.717322915
2003-02-09~2003-02-15,48396729.49529679,3692200.769448448,1489939.9810094256,1913194.6184768565,2530061.8871888127,1432589.2416866387,1527346.6379084454,1396047.7618837352,10208940.70366636,2721389.0506129605,3139659.6678839205,2570720.2096826,552410.0747441908,2018143.100747598,1954830.1409971246,10176168.995511156,1073086.6538485193
