week_range,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2004-05-16~2004-05-22,3834004899.0,5098627364.4,291050261.2,13666512912.0,481363000.4,170878265.0,937138256.2,24479574958.2
2004-05-23~2004-05-29,3844728161.0,5203143415.6,297038447.8,13716558592.0,495091862.6,169204324.0,863449230.8,24589214033.8
2004-05-30~2004-06-05,3855451423.0,5307659466.8,303026634.4,13766604272.0,508820724.8,167530383.0,789760205.4,24698853109.4
2004-06-06~2004-06-12,3866174685.0,5412175518.0,309014821.0,13816649952.0,522549587.0,165856442.0,716071180.0,24808492185.0
2004-06-13~2004-06-19,3884315095.25,5571925242.25,314678982.5,13806127409.0,515857074.25,165338769.5,659760651.75,24918003224.5
2004-06-20~2004-06-26,3902455505.5,5731674966.5,320343144.0,13795604866.0,509164561.5,164821097.0,603450123.5,25027514264.0
2004-06-27~2004-07-03,3920595915.75,5891424690.75,326007305.5,13785082323.0,502472048.75,164303424.5,547139595.25,25137025303.5
2004-07-04~2004-07-10,3938736326.0,6051174415.0,331671467.0,13774559780.0,495779536.0,163785752.0,490829067.0,25246536343.0
2004-07-11~2004-07-17,4141735563.5,6322373820.75,328706446.5,13706417741.25,532499606.0,166861245.5,466445797.5,25665040221.0
2004-07-18~2004-07-24,4344734801.0,6593573226.5,325741426.0,13638275702.5,569219676.0,169936739.0,442062528.0,26083544099.0
2004-07-25~2004-07-31,4547734038.5,6864772632.25,322776405.5,13570133663.75,605939746.0,173012232.5,417679258.5,26502047977.0
2004-08-01~2004-08-07,4750733276.0,7135972038.0,319811385.0,13501991625.0,642659816.0,176087726.0,393295989.0,26920551855.0
2004-08-08~2004-08-14,4637182117.6,6949472359.4,319490231.0,13482150183.4,630087319.4,178362203.4,401893586.2,26598638000.4
2004-08-15~2004-08-21,4523630959.2,6762972680.8,319169077.0,13462308741.8,617514822.8,180636680.8,410491183.4,26276724145.8
2004-08-22~2004-08-28,4410079800.8,6576473002.2,318847923.0,13442467300.2,604942326.2,182911158.2,419088780.6,25954810291.2
2004-08-29~2004-09-04,4296528642.4,6389973323.6,318526769.0,13422625858.6,592369829.6,185185635.6,427686377.8,25632896436.6
2004-09-05~2004-09-11,4182977484.0,6203473645.0,318205615.0,13402784417.0,579797333.0,187460113.0,436283975.0,25310982582.0
2004-09-12~2004-09-18,4105996337.75,5937449585.5,310681284.25,13474600419.25,557173959.25,192104176.25,516009546.5,25094015308.75
2004-09-19~2004-09-25,4029015191.5,5671425526.0,303156953.5,13546416421.5,534550585.5,196748239.5,595735118.0,24877048035.5
2004-09-26~2004-10-02,3952034045.25,5405401466.5,295632622.75,13618232423.75,511927211.75,201392302.75,675460689.5,24660080762.25
2004-10-03~2004-10-09,3875052899.0,5139377407.0,288108292.0,13690048426.0,489303838.0,206036366.0,755186261.0,24443113489.0
2004-10-10~2004-10-16,3912637809.2,5149365347.4,294958650.2,13724033595.0,553143973.8,209431813.2,866979530.2,24710550719.0
2004-10-17~2004-10-23,3950222719.4,5159353287.8,301809008.4,13758018764.0,616984109.6,212827260.4,978772799.4,24977987949.0
2004-10-24~2004-10-30,3987807629.6,5169341228.2,308659366.6,13792003933.0,680824245.4,216222707.6,1090566068.6,25245425179.0
2004-10-31~2004-11-06,4025392539.8,5179329168.6,315509724.8,13825989102.0,744664381.2,219618154.8,1202359337.8,25512862409.0
2004-11-07~2004-11-13,4062977450.0,5189317109.0,322360083.0,13859974271.0,808504517.0,223013602.0,1314152607.0,25780299639.0
2004-11-14~2004-11-20,4087378469.0,5282937270.75,330941582.5,13928030889.75,738675542.75,225676369.75,1454541671.5,26048181796.0
2004-11-21~2004-11-27,4111779488.0,5376557432.5,339523082.0,13996087508.5,668846568.5,228339137.5,1594930736.0,26316063953.0
2004-11-28~2004-12-04,4136180507.0,5470177594.25,348104581.5,14064144127.25,599017594.25,231001905.25,1735319800.5,26583946110.0
2004-12-05~2004-12-11,4160581526.0,5563797756.0,356686081.0,14132200746.0,529188620.0,233664673.0,1875708865.0,26851828267.0
2004-12-12~2004-12-18,4263338855.75,5754560963.0,356582100.75,14171959929.25,541822064.25,235905018.0,2033507660.5,27357676591.5
2004-12-19~2004-12-25,4366096185.5,5945324170.0,356478120.5,14211719112.5,554455508.5,238145363.0,2191306456.0,27863524916.0
2004-12-26~2005-01-01,4468853515.25,6136087377.0,356374140.25,14251478295.75,567088952.75,240385708.0,2349105251.5,28369373240.5
2005-01-02~2005-01-08,4571610845.0,6326850584.0,356270160.0,14291237479.0,579722397.0,242626053.0,2506904047.0,28875221565.0
2005-01-09~2005-01-15,4565580464.4,6286520058.6,349216470.6,13973608686.0,589868153.4,239339036.4,2528218002.6,28532350872.0
2005-01-16~2005-01-22,4559550083.8,6246189533.2,342162781.2,13655979893.0,600013909.8,236052019.8,2549531958.2,28189480179.0
2005-01-23~2005-01-29,4553519703.2,6205859007.8,335109091.8,13338351100.0,610159666.2,232765003.2,2570845913.8,27846609486.0
2005-01-30~2005-02-05,4547489322.6,6165528482.4,328055402.4,13020722307.0,620305422.6,229477986.6,2592159869.4,27503738793.0
2005-02-06~2005-02-12,4541458942.0,6125197957.0,321001713.0,12703093514.0,630451179.0,226190970.0,2613473825.0,27160868100.0
2005-02-13~2005-02-19,4438169812.5,6014321617.25,331812617.25,13123320026.25,614899399.5,223034971.0,2543543506.25,27289101950.0
2005-02-20~2005-02-26,4334880683.0,5903445277.5,342623521.5,13543546538.5,599347620.0,219878972.0,2473613187.5,27417335800.0
2005-02-27~2005-03-05,4231591553.5,5792568937.75,353434425.75,13963773050.75,583795840.5,216722973.0,2403682868.75,27545569650.0
2005-03-06~2005-03-12,4128302424.0,5681692598.0,364245330.0,14383999563.0,568244061.0,213566974.0,2333752550.0,27673803500.0
2005-03-13~2005-03-19,4158924058.0,5654087510.75,365251992.5,14326273792.75,561549002.5,211719429.25,2232460312.75,27510266098.5
2005-03-20~2005-03-26,4189545692.0,5626482423.5,366258655.0,14268548022.5,554853944.0,209871884.5,2131168075.5,27346728697.0
2005-03-27~2005-04-02,4220167326.0,5598877336.25,367265317.5,14210822252.25,548158885.5,208024339.75,2029875838.25,27183191295.5
2005-04-03~2005-04-09,4250788960.0,5571272249.0,368271980.0,14153096482.0,541463827.0,206176795.0,1928583601.0,27019653894.0
2005-04-10~2005-04-16,4178345625.75,5485259853.25,353159567.5,14185900796.5,533224019.5,202593377.25,1721732377.0,26660215616.75
2005-04-17~2005-04-23,4105902291.5,5399247457.5,338047155.0,14218705111.0,524984212.0,199009959.5,1514881153.0,26300777339.5
2005-04-24~2005-04-30,4033458957.25,5313235061.75,322934742.5,14251509425.5,516744404.5,195426541.75,1308029929.0,25941339062.25
2005-05-01~2005-05-07,3961015623.0,5227222666.0,307822330.0,14284313740.0,508504597.0,191843124.0,1101178705.0,25581900785.0
2005-05-08~2005-05-14,4005467963.2,5376124121.0,315695419.2,14310680174.4,526591378.4,191216379.6,1032792610.8,25758568046.6
2005-05-15~2005-05-21,4049920303.4,5525025576.0,323568508.4,14337046608.8,544678159.8,190589635.2,964406516.6,25935235308.2
2005-05-22~2005-05-28,4094372643.6,5673927031.0,331441597.6,14363413043.2,562764941.2,189962890.8,896020422.4,26111902569.8
2005-05-29~2005-06-04,4138824983.8,5822828486.0,339314686.8,14389779477.6,580851722.6,189336146.4,827634328.2,26288569831.4
2005-06-05~2005-06-11,4183277324.0,5971729941.0,347187776.0,14416145912.0,598938504.0,188709402.0,759248234.0,26465237093.0
2005-06-12~2005-06-18,4193904786.5,6149372222.5,354409459.75,14440182382.5,589683771.5,186911880.0,689956294.25,26604420797.0
2005-06-19~2005-06-25,4204532249.0,6327014504.0,361631143.5,14464218853.0,580429039.0,185114358.0,620664354.5,26743604501.0
2005-06-26~2005-07-02,4215159711.5,6504656785.5,368852827.25,14488255323.5,571174306.5,183316836.0,551372414.75,26882788205.0
2005-07-03~2005-07-09,4225787174.0,6682299067.0,376074511.0,14512291794.0,561919574.0,181519314.0,482080475.0,27021971909.0
2005-07-10~2005-07-16,4334152606.6,6836030509.4,369184739.0,14469354956.4,576748666.2,183328288.2,465839264.8,27234639030.6
2005-07-17~2005-07-23,4442518039.2,6989761951.8,362294967.0,14426418118.8,591577758.4,185137262.4,449598054.6,27447306152.2
2005-07-24~2005-07-30,4550883471.8,7143493394.2,355405195.0,14383481281.2,606406850.6,186946236.6,433356844.4,27659973273.8
2005-07-31~2005-08-06,4659248904.4,7297224836.6,348515423.0,14340544443.6,621235942.8,188755210.8,417115634.2,27872640395.4
2005-08-07~2005-08-13,4767614337.0,7450956279.0,341625651.0,14297607606.0,636065035.0,190564185.0,400874424.0,28085307517.0
2005-08-14~2005-08-20,4673347149.5,7265734316.25,346194989.0,14278504980.0,631272212.75,193895253.75,418730915.25,27807679816.5
