week_range,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2003-08-10~2003-08-16,812293835.0384616,1371312396.5192308,455826551.6730769,82449592.78846154,64052307.48076923,781576681.1730769,240285081.92307693
2003-08-17~2003-08-23,812515758.8461539,1371608261.9230769,455396912.3076923,82336950.84615384,63977961.07692308,782322550.3076923,240445854.30769232
2003-08-24~2003-08-30,812737682.6538461,1371904127.3269231,454967272.9423077,82224308.90384616,63903614.67307692,783068419.4423077,240606626.69230768
2003-08-31~2003-09-06,812959606.4615384,1372199992.7307692,454537633.5769231,82111666.96153846,63829268.26923077,783814288.5769231,240767399.07692307
2003-09-07~2003-09-13,813181530.2692307,1372495858.1346154,454107994.21153843,81999025.01923077,63754921.865384616,784560157.7115384,240928171.46153846
2003-09-14~2003-09-20,813403454.0769231,1372791723.5384614,453678354.84615386,81886383.07692307,63680575.461538464,785306026.8461539,241088943.84615386
2003-09-21~2003-09-27,813625377.8846154,1373087588.9423077,453248715.4807692,81773741.13461539,63606229.057692304,786051895.9807693,241249716.23076922
2003-09-28~2003-10-04,813847301.6923077,1373383454.3461537,452819076.11538464,81661099.1923077,63531882.65384615,786797765.1153846,241410488.6153846
2003-10-05~2003-10-11,814069225.5,1373679319.75,452389436.75,81548457.25,63457536.25,787543634.25,241571261.0
2003-10-12~2003-10-18,814291149.3076923,1373975185.1538463,451959797.38461536,81435815.3076923,63383189.84615385,788289503.3846154,241732033.3846154
2003-10-19~2003-10-25,814513073.1153846,1374271050.5576923,451530158.0192308,81323173.36538461,63308843.442307696,789035372.5192307,241892805.76923078
2003-10-26~2003-11-01,814734996.9230769,1374566915.9615386,451100518.65384614,81210531.42307693,63234497.038461536,789781241.6538461,242053578.15384614
2003-11-02~2003-11-08,814956920.7307693,1374862781.3653846,450670879.28846157,81097889.48076923,63160150.634615384,790527110.7884616,242214350.53846154
2003-11-09~2003-11-15,815178844.5384616,1375158646.7692308,450241239.9230769,80985247.53846154,63085804.23076923,791272979.9230769,242375122.92307693
2003-11-16~2003-11-22,815400768.3461539,1375454512.1730769,449811600.5576923,80872605.59615384,63011457.82692308,792018849.0576923,242535895.30769232
2003-11-23~2003-11-29,815622692.1538461,1375750377.5769231,449381961.1923077,80759963.65384616,62937111.42307692,792764718.1923077,242696667.69230768
2003-11-30~2003-12-06,815844615.9615384,1376046242.9807692,448952321.8269231,80647321.71153846,62862765.01923077,793510587.3269231,242857440.07692307
2003-12-07~2003-12-13,816066539.7692307,1376342108.3846154,448522682.46153843,80534679.76923077,62788418.615384616,794256456.4615384,243018212.46153846
2003-12-14~2003-12-20,816288463.5769231,1376637973.7884614,448093043.09615386,80422037.82692307,62714072.211538464,795002325.5961539,243178984.84615386
2003-12-21~2003-12-27,816510387.3846154,1376933839.1923077,447663403.7307692,80309395.88461539,62639725.807692304,795748194.7307693,243339757.23076922
2003-12-28~2004-01-03,816732311.1923077,1377229704.5961537,447233764.36538464,80196753.9423077,62565379.40384615,796494063.8653846,243500529.6153846
2004-01-04~2004-01-10,816954235.0,1377525570.0,446804125.0,80084112.0,62491033.0,797239933.0,243661302.0
2004-01-11~2004-01-17,816415061.5961539,1376164005.1346154,446066780.1923077,80253821.07692307,62584332.788461536,796454961.5576923,243728374.78846154
2004-01-18~2004-01-24,815875888.1923077,1374802440.2692308,445329435.38461536,80423530.15384616,62677632.57692308,795669990.1153846,243795447.57692307
2004-01-25~2004-01-31,815336714.7884616,1373440875.4038463,444592090.5769231,80593239.23076923,62770932.365384616,794885018.6730769,243862520.3653846
2004-02-01~2004-02-07,814797541.3846154,1372079310.5384614,443854745.7692308,80762948.3076923,62864232.15384615,794100047.2307693,243929593.15384614
2004-02-08~2004-02-14,814258367.9807693,1370717745.6730769,443117400.96153843,80932657.38461539,62957531.942307696,793315075.7884616,243996665.94230768
2004-02-15~2004-02-21,813719194.5769231,1369356180.8076923,442380056.15384614,81102366.46153846,63050831.73076923,792530104.3461539,244063738.73076922
2004-02-22~2004-02-28,813180021.1730769,1367994615.9423077,441642711.34615386,81272075.53846154,63144131.51923077,791745132.9038461,244130811.51923078
2004-02-29~2004-03-06,812640847.7692307,1366633051.0769231,440905366.53846157,81441784.61538461,63237431.307692304,790960161.4615384,244197884.30769232
2004-03-07~2004-03-13,812101674.3653846,1365271486.2115386,440168021.7307692,81611493.6923077,63330731.09615385,790175190.0192307,244264957.09615386
2004-03-14~2004-03-20,811562500.9615384,1363909921.3461537,439430676.9230769,81781202.76923077,63424030.884615384,789390218.5769231,244332029.8846154
2004-03-21~2004-03-27,811023327.5576923,1362548356.4807692,438693332.11538464,81950911.84615384,63517330.67307692,788605247.1346154,244399102.67307693
2004-03-28~2004-04-03,810484154.1538461,1361186791.6153846,437955987.3076923,82120620.92307693,63610630.461538464,787820275.6923077,244466175.46153846
2004-04-04~2004-04-10,809944980.75,1359825226.75,437218642.5,82290330.0,63703930.25,787035304.25,244533248.25
2004-04-11~2004-04-17,809405807.3461539,1358463661.8846154,436481297.6923077,82460039.07692307,63797230.038461536,786250332.8076923,244600321.03846154
2004-04-18~2004-04-24,808866633.9423077,1357102097.0192308,435743952.88461536,82629748.15384616,63890529.82692308,785465361.3653846,244667393.82692307
2004-04-25~2004-05-01,808327460.5384616,1355740532.1538463,435006608.0769231,82799457.23076923,63983829.615384616,784680389.9230769,244734466.6153846
