week_range,SeoulPopulation,BusanPopulation,DaeguPopulation,InchenPopulation,GwanguPopulation,DaejeonPopulation,UlsanPopulation,GyeonggiPopulation,GangwonPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,JeonbukPopulation,JeollanamPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,JejuPopulation
2002-07-28~2002-08-03,10578559.5914598,3453916.9625989716,2381392.7667183634,2145811.680504221,1352772.630494843,1339240.5505244941,853452.788790128,10862165.39880512,1445546.7396814509,1447342.539624112,2111190.815733579,1719461.2596220614,1797781.569937187,2488996.2294710367,2872424.101161596,400334.13415037445
2002-08-04~2002-08-10,10578304.039574528,3454332.2188700303,2381814.405059551,2147445.041290874,1353091.246810793,1339779.141684295,854215.3824973851,10863652.117141962,1445781.793452632,1447606.1500704926,2111008.235997968,1719934.8420942633,1798139.6826231277,2489589.705811289,2873538.5982226557,400700.625556399
2002-08-11~2002-08-17,10578004.507808205,3454815.588875345,2382305.422526962,2149348.5454094093,1353462.4332068698,1340406.5163620068,855103.9096167418,10865388.552926878,1446055.6774249217,1447913.406488548,2110795.683541717,1720486.4416619032,1798556.7677477342,2490281.051588764,2874837.2654522783,401127.9353963871
2002-08-18~2002-08-24,10577703.481380159,3455297.7789560794,2382795.4772998365,2151249.805795444,1353833.0459915025,1341032.8338508378,855991.1815401337,10867127.068313358,1446329.1893984496,1448220.3515652104,2110583.6234927084,1721037.0576578248,1798973.085016504,2490971.273827304,2876134.2318524704,401554.96150263946
2002-08-25~2002-08-31,10577400.960290391,3455778.789112232,2383284.569378175,2153148.822448978,1354203.0851646913,1341658.0941507884,856877.198267561,10868867.663301406,1446602.329373216,1448526.9853004792,2110372.055850941,1721586.690082028,1799388.634429437,2491660.3725269106,2877429.497423232,401981.7038751559
2002-09-01~2002-09-07,10577140.466870444,3456190.144408146,2383703.0249333433,2154774.7651812416,1354519.8050509691,1342193.190114698,857635.6421432615,10870361.257055674,1446836.15327094,1448789.5664140908,2110191.104073966,1722057.0207456918,1799744.208489959,2492250.13430987,2878538.37133393,402347.2572227068
2002-09-08~2002-09-14,10576835.169980334,3456668.963275792,2384190.329150399,2156669.614902989,1354888.778945762,1342816.48706387,858519.3277924687,10872105.714160915,1447108.6023908632,1449095.6219439153,2109980.4509027903,1722604.8265367039,1800158.33188491,2492937.1464371704,2879830.4782214635,402773.47266114235
2002-09-15~2002-09-21,10576528.378428502,3457146.6022188566,2384676.670672918,2158562.2208922356,1355257.1792291107,1343438.7268241614,859401.7582457112,10873852.250867724,1447380.6795120246,1449401.3661323464,2109770.290138857,1723151.648755998,1800571.6874240243,2493623.035025536,2881120.884279567,403199.40436584206
2002-09-22~2002-09-28,10576220.092214948,3457623.061237341,2385162.049500901,2160452.583148982,1355625.0059010154,1344059.909395572,860282.933502989,10875600.8671761,1447652.3846344242,1449706.7989793846,2109560.621782165,1723697.4874035732,1800984.2751073022,2494307.8000749676,2882409.589508239,403625.0523368059
2002-09-29~2002-10-05,10575910.311339669,3458098.340331244,2385646.465634347,2162340.7016732274,1355992.258961476,1344680.034778102,861162.8535643022,10877351.563086044,1447923.7177580623,1450011.9204850295,2109351.4458327144,1724242.3424794304,1801396.0949347436,2494991.4415854653,2883696.593907481,404050.4165740339
2002-10-06~2002-10-12,10575599.03580267,3458572.439500566,2386129.919073256,2164226.5764649725,1356358.9384104926,1345299.1029717515,862041.5184296506,10879104.338597553,1448194.6788829386,1450316.730649281,2109142.762290506,1724786.2139835693,1801807.1469063482,2495673.9595570285,2884981.8974772925,404475.49707752594
2002-10-13~2002-10-19,10575286.265603947,3459045.358745307,2386612.409817629,2166110.207524217,1356725.0442480652,1345917.1139765203,862918.9280990344,10880859.193710629,1448465.268009053,1450621.2294721394,2108934.5711555392,1725329.1019159898,1802217.4310221164,2496355.3539896575,2886265.500217674,404900.29384728224
2002-10-20~2002-10-26,10574972.0007435,3459517.098065468,2387093.9378674654,2167991.594850961,1357090.576474194,1346534.0677924082,863795.0825724534,10882616.12842527,1448735.485136406,1450925.4169536047,2108726.872427814,1725871.006276692,1802626.947282048,2497035.6248833523,2887547.4021286243,405324.80688330263
2002-10-27~2002-11-02,10574656.241221333,3459987.657461047,2387574.503222765,2169870.7384452047,1357455.5350888784,1347149.9644194155,864669.9818499079,10884375.142741479,1449005.3302649972,1451229.2930936767,2108519.666107331,1726411.9270656758,1803035.695686143,2497714.772238113,2888827.603210144,405749.0361855872
2002-11-03~2002-11-09,10574384.400573615,3460390.054962184,2387985.6501581864,2171479.647126647,1357767.900210724,1347677.0343779451,865418.8964827744,10885884.524491314,1449236.3300088567,1451489.5105542622,2108342.4526057416,1726874.7906134373,1803385.4403105176,2498296.0042969193,2889923.5647014924,406112.43547293916
2002-11-10~2002-11-16,10574065.865251105,3460858.423069256,2388464.427652204,2173354.6237891037,1358131.7935470124,1348290.9676541742,866291.4646820087,10887647.400924716,1449505.484282605,1451792.8084888896,2108136.16075585,1727413.88476923,1803792.7626966303,2498973.0650793733,2891200.6070997845,406536.13784114283
2002-11-17~2002-11-23,10573745.835266873,3461325.6112517472,2388942.2424516845,2175227.35671906,1358495.113271857,1348903.8437415224,867162.7776852783,10889412.356959688,1449774.266557591,1452095.795082124,2107930.3613132,1727951.9953533043,1804199.3172269065,2499649.0023228936,2892475.9486686457,406959.5564756106
2002-11-24~2002-11-30,10573424.310620917,3461791.619509658,2389419.0945566287,2177097.8459165157,1358857.8593852574,1349515.66263999,868032.8354925832,10891179.392596224,1450042.6768338156,1452398.470333965,2107725.0542777916,1728489.1223656605,1804605.1039013462,2500323.8160274792,2893749.589408077,407382.6913763425
2002-12-01~2002-12-07,10573101.29131324,3462256.4478429873,2389894.9839670365,2178966.0913814707,1359220.0318872137,1350126.4243495767,868901.6381039235,10892948.507834326,1450310.7151112785,1452700.8342444128,2107520.2396496255,1729025.2658062982,1805010.122719949,2500997.506193131,2895021.5293180775,407805.54254333855
2002-12-08~2002-12-14,10572776.77734384,3462720.096251736,2390369.9106829073,2180832.093113925,1359581.6307777262,1350736.128870283,869769.185519299,10894719.702673998,1450578.3813899797,1453002.8868134676,2107315.9174287007,1729560.4256752178,1805414.3736827157,2501670.0728198485,2896291.768398647,408228.10997659876
2002-12-15~2002-12-21,10572450.768712716,3463182.5647359034,2390843.8747042418,2182695.8511138787,1359942.6560567946,1351344.7762021085,870635.4777387099,10896492.977115234,1450845.6756699192,1453304.628041129,2107112.0876150173,1730094.6019724188,1805817.8567896455,2502341.5159076317,2897560.306649787,408650.39367612306
2002-12-22~2002-12-28,10572123.265419872,3463643.8532954906,2391316.8760310397,2184557.365381332,1360303.1077244189,1351952.3663450533,871500.5147621561,10898268.331158036,1451112.597951097,1453606.0579273973,2106908.750208576,1730627.7946979017,1806220.5720407388,2503011.8354564807,2898827.144071496,409072.3936419115
2002-12-29~2003-01-04,10571794.267465305,3464103.961930496,2391788.914663301,2186416.6359162848,1360662.985780599,1352558.8992991175,872364.2965896376,10900045.764802407,1451379.1482335129,1453907.1764722723,2106705.9052093765,1731160.003851666,1806622.5194359957,2503681.0314663956,2900092.2806637743,409494.1098739641
2003-01-05~2003-01-11,10571511.079589814,3464497.4016368557,2392192.7529789754,2188008.510546907,1360970.9961380125,1353077.9432522675,873103.6819796703,10901570.934547808,1451607.323823508,1454165.030279832,2106532.4299831735,1731615.4002835252,1806966.4346242233,2504253.7338010487,2901175.3297357727,409855.3551011174
2003-01-12~2003-01-18,10571179.305834904,3464955.318983354,2392663.0037499545,2189863.614150073,1361329.8089157967,1353682.5128555533,873965.1327289317,10903352.230309373,1451873.183251081,1454465.5706192623,2106330.4994545653,1732145.7828040984,1807366.9560014978,2504920.8432386573,2902437.307644823,410276.54439908906
2003-01-19~2003-01-25,10570846.03741827,3465412.056405272,2393132.291826397,2191716.474020738,1361688.0480821368,1354286.0252699584,874825.3282822284,10905135.605672503,1452138.6706798922,1454765.7996172998,2106129.0613331995,1732675.1817529534,1807766.7095229358,2505586.829137332,2903697.584724443,410697.44996332494
2003-01-26~2003-02-01,10570511.274339916,3465867.6139026084,2393600.617208303,2193567.090158903,1362045.713637033,1354888.4804954827,875684.2686395603,10906921.060637202,1452403.7861099415,1455065.7172739438,2105928.115619075,1733203.59713009,1808165.695188537,2506251.6914970716,2904956.1609746325,411118.07179382484
2003-02-02~2003-02-08,10570223.144929752,3466257.1526338225,2394001.272737958,2195151.546735136,1362351.8275647743,1355404.0292527415,876419.5041980364,10908453.105800025,1452630.7318264798,1455322.541748734,2105756.2683515074,1733655.741753411,1808507.0717513459,2506820.679274432,2906033.5868962687,411478.37896250444
2003-02-09~2003-02-15,10569885.606051054,3466710.518842652,2394467.810258582,2196997.9959415137,1362708.4278412743,1356004.5211274875,877276.1134771482,10910242.42288192,1452895.156401686,1455621.8811999336,2105556.237107975,1734182.3304973566,1808904.6313989651,2507483.455061866,2907289.00446323,411898.47385892353
