Week_Num,datetime,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase,abnormal_weather_count
22,2000-05-28,29,2.813438810025418,-0.41113289200944503,-0.41113289200944503,-0.008061429255087129,-0.41113289200944503,-0.41113289200944503,-0.41113289200944503,-0.24990430690770185,-0.41113289200944503,-0.0886757218059587,32991,0.0008790276135915,79.15714285714286,62.5,69.75714285714285,59.271428571428565,71.24285714285715,0.0475714285714285,10.614285714285714,1008.8,0.7228571428571428,0.0
23,2000-06-04,24,2.816729000836066,-0.38851434494290565,-0.38851434494290565,0.0,-0.38851434494290565,-0.38851434494290565,-0.38851434494290565,-0.38851434494290565,-0.38851434494290565,-0.09712858623572641,32991,0.0007274711284895,82.84285714285714,60.05714285714286,71.31428571428572,56.35714285714285,61.785714285714285,0.0091428571428571,10.314285714285717,1009.3142857142856,0.5285714285714286,0.0
24,2000-06-11,21,2.766792557912826,-0.42008892240561224,-0.42008892240561224,-0.13037242419484518,-0.42008892240561224,-0.42008892240561224,-0.42008892240561224,-0.42008892240561224,-0.42008892240561224,0.30420232312130546,32991,0.0006365372374283,81.88571428571429,61.957142857142856,71.21428571428571,56.68571428571429,62.271428571428565,0.0488571428571428,10.614285714285714,1007.3571428571428,0.1971428571428571,0.0
25,2000-06-18,23,2.6321072049201226,-0.47318781212047145,-0.47318781212047145,0.7097817181807071,-0.47318781212047145,-0.47318781212047145,-0.47318781212047145,-0.47318781212047145,-0.47318781212047145,-0.02957423825752949,32991,0.0006971598314691,87.5,66.08571428571429,75.81428571428572,61.385714285714286,62.92857142857143,0.0115714285714285,10.171428571428573,1008.5714285714286,0.4357142857142856,0.0
26,2000-06-25,17,2.78837502157276,-0.3983392887961085,-0.3983392887961085,0.23900357327766514,-0.3983392887961085,-0.3983392887961085,-0.3983392887961085,-0.3983392887961085,-0.3983392887961085,-0.23900357327766514,33064,0.0005141543672876,86.01428571428572,67.07142857142857,76.0,64.57142857142857,69.68571428571428,0.0618571428571428,9.114285714285714,1007.1285714285714,0.6699999999999999,0.0
27,2000-07-02,20,2.8358825310174134,-0.36989772143705396,-0.36989772143705396,-0.12329924047901798,-0.36989772143705396,-0.36989772143705396,-0.36989772143705396,-0.24659848095803596,-0.36989772143705396,-0.24659848095803596,33247,0.0006015580353114,84.68571428571428,68.88571428571429,76.01428571428572,67.68571428571428,77.08571428571429,0.2761428571428571,10.257142857142856,1005.9571428571428,0.7657142857142858,0.0
28,2000-07-09,15,2.8362208898762122,-0.3595209578716325,-0.3595209578716325,-0.15978709238739225,-0.3595209578716325,-0.3595209578716325,-0.3595209578716325,-0.3595209578716325,-0.3595209578716325,-0.15978709238739225,33247,0.0004511685264835,91.04285714285712,72.92857142857143,81.89999999999999,69.58571428571429,67.82857142857144,0.0005714285714285,10.271428571428572,1009.0428571428572,0.1514285714285714,1.0
29,2000-07-16,20,2.811939339325841,-0.3806555437515331,-0.3806555437515331,-0.25786343286394176,-0.3806555437515331,-0.3806555437515331,-0.3806555437515331,-0.3806555437515331,-0.3806555437515331,0.11051289979883218,33247,0.0006015580353114,86.74285714285715,72.75714285714285,79.22857142857143,70.91428571428571,76.75714285714285,0.1724285714285714,12.5,1006.4285714285714,0.3857142857142857,0.0
30,2000-07-23,18,2.7725651843690766,-0.40433242272049036,-0.40433242272049036,-0.40433242272049036,-0.25992798603460093,-0.40433242272049036,-0.40433242272049036,-0.40433242272049036,-0.40433242272049036,0.31768976070895677,33247,0.0005414022317803,87.32857142857142,76.48571428571428,80.85714285714286,74.04285714285716,80.67142857142858,0.4878571428571428,13.571428571428571,1005.1428571428572,0.6228571428571429,0.0
31,2000-07-30,26,2.8364977615033604,-0.3560971215740149,-0.3560971215740149,-0.23330501068642354,-0.3560971215740149,-0.3560971215740149,-0.3560971215740149,-0.3560971215740149,-0.3560971215740149,-0.1105128997988322,33247,0.0007820254459048,88.58571428571429,73.92857142857143,80.8,70.4,71.74285714285715,0.0344285714285714,8.742857142857144,1001.342857142857,0.8614285714285714,0.0
