datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2013-01-27,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-02-03,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-02-10,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-02-17,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-02-24,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-03-03,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-03-10,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-03-17,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-03-24,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-03-31,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-04-07,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-04-14,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-04-21,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-04-28,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-05-05,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-05-12,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-05-19,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-05-26,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-06-02,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-06-09,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-06-16,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-06-23,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-06-30,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-07-07,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-07-14,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-07-21,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-07-28,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-08-04,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-08-11,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-08-18,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-08-25,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-09-01,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-09-08,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-09-15,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-09-22,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-09-29,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-10-06,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-10-13,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-10-20,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-10-27,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-11-03,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-11-10,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-11-17,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-11-24,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-12-01,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-12-08,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-12-15,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-12-22,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2013-12-29,1253249603.4423077,1943084685.2115386,149795674.94230768,4873222520.75,241928346.53846154,60185681.09615385,333361144.3269231,8854827656.307692
2014-01-05,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-01-12,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-01-19,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-01-26,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-02-02,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-02-09,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-02-16,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-02-23,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-03-02,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-03-09,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-03-16,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-03-23,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-03-30,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-04-06,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-04-13,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-04-20,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-04-27,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-05-04,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-05-11,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-05-18,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-05-25,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-06-01,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-06-08,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-06-15,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-06-22,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-06-29,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-07-06,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-07-13,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-07-20,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-07-27,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-08-03,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-08-10,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-08-17,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-08-24,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-08-31,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-09-07,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-09-14,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-09-21,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-09-28,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-10-05,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-10-12,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-10-19,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-10-26,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-11-02,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-11-09,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-11-16,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-11-23,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-11-30,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-12-07,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-12-14,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-12-21,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2014-12-28,1261473398.5961537,1957622812.5576923,151886456.1346154,5034981562.596154,263566254.1346154,60276161.84615385,313486815.38461536,9043293461.25
2015-01-04,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-01-11,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-01-18,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-01-25,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-02-01,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-02-08,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-02-15,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-02-22,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-03-01,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
2015-03-08,1237543984.8269231,1933807991.0961537,142616448.92307693,5208297410.557693,277057537.65384614,61700768.634615384,279604208.96153843,9140628350.653847
