datetime,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2007-06-10,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-06-17,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-06-24,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-07-01,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-07-08,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-07-15,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-07-22,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-07-29,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-08-05,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-08-12,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-08-19,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-08-26,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-09-02,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-09-09,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-09-16,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-09-23,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-09-30,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-10-07,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-10-14,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-10-21,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-10-28,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-11-04,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-11-11,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-11-18,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-11-25,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-12-02,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-12-09,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-12-16,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-12-23,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2007-12-30,15555030.211538462,22844671.057692308,7740864.615384615,2779036.403846154,1887365.0192307692,16821129.153846152,5936671.5
2008-01-06,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-01-13,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-01-20,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-01-27,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-02-03,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-02-10,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-02-17,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-02-24,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-03-02,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-03-09,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
2008-03-16,13531945.865384616,20098149.269230768,8038085.634615385,3300053.0384615385,2130718.096153846,16497230.115384616,5109994.692307692
