주차,기간,기사 갯수,오염,환경 오염,생물 멸종,산성비,수질 오염,기후 위기,온난화 가속화,오존층 파괴,유해 물질 누출,이산화탄소,주간 뉴스 수,뉴스 비율
128,20020610 - 20020616,10,13,0,0,0,0,0,0,0,0,1,39601,0.000252518875785965
129,20020617 - 20020623,9,11,0,0,1,0,0,0,0,0,1,39601,0.0002272669882073685
130,20020624 - 20020630,8,9,0,0,1,0,0,0,0,0,1,39601,0.000202015100628772
131,20020701 - 20020707,9,7,0,0,1,1,0,0,0,0,3,38534,0.00023355997301084756
132,20020708 - 20020714,11,5,0,0,0,0,0,0,0,0,10,38534,0.00028546218923548037
133,20020715 - 20020721,24,26,0,0,10,0,0,0,0,0,3,38534,0.0006228265946955935
134,20020722 - 20020728,19,19,0,0,8,0,0,0,0,0,6,38534,0.0004930710541340115
135,20020729 - 20020804,16,16,0,0,3,0,0,0,0,0,2,38534,0.00041521772979706236
136,20020805 - 20020811,23,28,0,0,0,0,0,0,0,0,2,38534,0.0005968754865832771
137,20020812 - 20020818,41,41,0,0,2,1,0,0,0,0,20,38534,0.0010639954326049723
138,20020819 - 20020825,23,21,0,0,2,0,0,0,0,0,8,38534,0.0005968754865832771
139,20020826 - 20020901,16,18,0,0,1,0,0,0,0,0,2,38534,0.00041521772979706236
140,20020902 - 20020908,12,10,0,0,2,0,0,0,0,0,3,38534,0.00031141329734779674
141,20020909 - 20020915,10,7,0,2,1,0,0,0,0,0,4,38534,0.00025951108112316393
142,20020916 - 20020922,16,21,0,0,1,1,0,0,0,0,0,38534,0.00041521772979706236
143,20020923 - 20020929,14,19,0,0,3,0,0,0,0,0,5,38534,0.00036331551357242955
144,20020930 - 20021006,12,12,0,0,1,0,0,0,0,0,3,38816,0.00030915086562242374
145,20021007 - 20021013,14,18,0,0,1,0,0,0,0,0,2,38864,0.00036023054755043225
146,20021014 - 20021020,7,9,0,0,1,0,0,0,0,0,2,38864,0.00018011527377521613
147,20021021 - 20021027,4,4,0,0,0,0,0,0,0,0,0,38864,0.0001029230135858378
148,20021028 - 20021103,10,9,0,0,0,0,0,0,0,0,4,38864,0.00025730753396459446
149,20021104 - 20021110,16,17,0,0,3,0,0,0,0,0,5,38864,0.0004116920543433512
150,20021111 - 20021117,16,21,0,0,1,1,0,0,0,0,1,38864,0.0004116920543433512
151,20021118 - 20021124,20,28,0,0,3,1,0,0,0,0,7,38864,0.0005146150679291889
152,20021125 - 20021201,13,15,1,0,2,0,0,0,0,0,3,38864,0.0003344997941539728
153,20021202 - 20021208,5,7,0,0,0,0,0,0,0,0,0,38864,0.00012865376698229723
154,20021209 - 20021215,19,12,0,0,0,0,0,0,0,0,14,38864,0.0004888843145327295
155,20021216 - 20021222,16,20,0,0,1,1,0,0,0,0,1,38864,0.0004116920543433512
156,20021223 - 20021229,13,12,0,0,0,0,0,0,0,0,4,38864,0.0003344997941539728
157,20021230 - 20030105,7,9,0,0,1,0,0,0,0,0,1,36988,0.00018925056775170325
158,20030106 - 20030112,27,28,0,0,0,0,0,0,0,0,13,36238,0.0007450742314697279
159,20030113 - 20030119,14,16,0,0,4,0,0,0,0,0,0,36238,0.00038633478668800706
160,20030120 - 20030126,7,7,0,0,1,0,0,0,0,0,1,36238,0.00019316739334400353
161,20030127 - 20030202,7,8,0,0,1,0,0,0,0,0,0,36238,0.00019316739334400353
162,20030203 - 20030209,18,23,0,0,0,2,0,0,0,0,4,36238,0.0004967161543131519
163,20030210 - 20030216,14,15,0,0,3,0,0,0,0,0,4,36238,0.00038633478668800706
164,20030217 - 20030223,8,8,0,0,1,0,0,0,0,0,3,36238,0.00022076273525028974
165,20030224 - 20030302,14,11,0,0,2,0,0,0,0,0,12,36238,0.00038633478668800706
166,20030303 - 20030309,9,11,0,0,3,0,0,0,0,0,4,36238,0.00024835807715657595
167,20030310 - 20030316,13,13,0,0,2,0,0,0,0,0,2,36238,0.00035873944478172085
168,20030317 - 20030323,16,13,0,0,2,1,0,0,0,0,7,36238,0.0004415254705005795
169,20030324 - 20030330,17,21,0,0,1,0,0,0,0,0,2,36238,0.00046912081240686575
170,20030331 - 20030406,15,20,0,0,3,2,0,0,0,0,3,36886,0.00040665835276256575
171,20030407 - 20030413,7,10,0,0,2,0,0,0,0,0,1,36995,0.0001892147587511826
172,20030414 - 20030420,19,23,0,0,5,0,0,0,0,0,4,36995,0.0005135829166103528
173,20030421 - 20030427,15,22,0,0,1,0,0,0,0,0,3,36995,0.0004054601973239627
174,20030428 - 20030504,13,17,0,0,1,0,0,0,0,0,1,36995,0.0003513988376807677
175,20030505 - 20030511,5,6,0,0,0,0,0,0,0,0,2,36995,0.00013515339910798757
176,20030512 - 20030518,10,11,0,0,1,1,0,0,0,0,1,36995,0.00027030679821597514
177,20030519 - 20030525,20,20,0,0,0,0,0,0,0,0,2,36995,0.0005406135964319503
178,20030526 - 20030601,16,17,0,0,3,0,0,0,0,0,7,36995,0.00043249087714556023
179,20030602 - 20030608,13,14,0,0,2,0,0,0,0,0,4,36995,0.0003513988376807677
180,20030609 - 20030615,27,32,0,0,2,0,0,0,0,0,5,36995,0.0007298283551831329
181,20030616 - 20030622,27,40,0,0,1,0,0,0,0,0,3,36995,0.0007298283551831329
182,20030623 - 20030629,17,22,0,0,1,1,0,0,0,0,5,36995,0.00045952155696715773
183,20030630 - 20030706,8,6,0,0,0,0,0,0,0,0,3,36794,0.00021742675436212425
184,20030707 - 20030713,13,16,0,0,1,1,0,0,0,0,4,36760,0.00035364526659412403
185,20030714 - 20030720,28,25,0,0,0,0,0,0,0,0,9,36760,0.0007616974972796518
186,20030721 - 20030727,23,11,0,0,0,0,0,0,0,0,20,36760,0.0006256800870511425
187,20030728 - 20030803,20,24,0,0,1,1,0,0,1,0,3,36760,0.000544069640914037
188,20030804 - 20030810,17,26,0,0,0,2,0,0,0,0,2,36760,0.0004624591947769314
189,20030811 - 20030817,27,27,0,0,10,0,0,0,0,0,6,36760,0.00073449401523395
190,20030818 - 20030824,14,9,0,0,3,0,0,0,0,0,5,36760,0.0003808487486398259
191,20030825 - 20030831,16,15,0,0,6,0,0,0,0,0,8,36760,0.0004352557127312296
192,20030901 - 20030907,18,18,0,0,2,0,0,0,0,0,5,36760,0.0004896626768226333
193,20030908 - 20030914,6,8,0,0,0,0,0,0,0,0,1,36760,0.0001632208922742111
194,20030915 - 20030921,6,6,0,0,0,0,0,0,0,0,0,36760,0.0001632208922742111
195,20030922 - 20030928,12,14,0,0,1,0,0,0,0,0,3,36760,0.0003264417845484222
196,20030929 - 20031005,10,12,1,0,0,1,0,0,0,0,3,39008,0.000256357670221493
197,20031006 - 20031012,19,21,0,0,10,0,0,0,0,0,2,39907,0.00047610694865562434
198,20031013 - 20031019,9,11,0,0,0,1,0,0,0,0,2,39907,0.00022552434410003257
199,20031020 - 20031026,10,14,0,0,0,0,0,0,0,0,1,39907,0.00025058260455559174
200,20031027 - 20031102,16,20,0,0,0,1,0,0,0,0,4,39907,0.0004009321672889468
201,20031103 - 20031109,13,20,0,0,2,0,0,0,0,0,1,39907,0.00032575738592226927
202,20031110 - 20031116,11,12,0,0,2,0,0,0,0,0,3,39907,0.00027564086501115093
